model_name;cleaning_function;mean_accuracy;std_accuracy
lstm;remove_url;0,488754992479;0,00609062368969
cnn;remove_url;0,556656944543;0,00896277330231
b_lstm;remove_url;0,528153744233;0,0121552590805
cnn_lstm;remove_url;0,513743321147;0,0345192465955
fast_text;remove_url;0,492832142995;0,0153468393092
kim;remove_url;0,622417896361;0,0319362109121
lstm;removed_reserved_words;0,474761702891;0,0100396082515
cnn;removed_reserved_words;0,559733951924;0,0297139969259
b_lstm;removed_reserved_words;0,531895516071;0,000766888762979
cnn_lstm;removed_reserved_words;0,634309267423;0,0138172370713
fast_text;removed_reserved_words;0,494849768305;0,0191171565654
kim;removed_reserved_words;0,608112877882;0,0224706678687
lstm;sub_mentions;0,461960143085;0,0170587544489
cnn;sub_mentions;0,542482757178;0,0118707194413
b_lstm;sub_mentions;0,526448555049;0,0102533270386
cnn_lstm;sub_mentions;0,528810903005;0,0138080409456
fast_text;sub_mentions;0,44935453275;0,0538569480677
kim;sub_mentions;0,659375675497;0,0244837130134
lstm;sub_emoji;0,464470361565;0,00939028139602
cnn;sub_emoji;0,544002772643;0,0138920182899
b_lstm;sub_emoji;0,540513446512;0,0187234387932
cnn_lstm;sub_emoji;0,607040348564;0,0103756268366
fast_text;sub_emoji;0,480603843583;0,0234652380308
kim;sub_emoji;0,637709906189;0,0288838303743
lstm;nothing;0,443216420994;0,0202348658459
cnn;nothing;0,538482097461;0,00584020212116
b_lstm;nothing;0,542100589006;0,00143993095674
cnn_lstm;nothing;0,62258852406;0,0166357501395
fast_text;nothing;0,441796014995;0,0388803897129
kim;nothing;0,637061054891;0,0185151923525
lstm;sub_smiley;0,472517410538;0,012828743845
cnn;sub_smiley;0,56567863838;0,023045575509
b_lstm;sub_smiley;0,532599515516;0,00301685040906
cnn_lstm;sub_smiley;0,586648499045;0,021467327314
fast_text;sub_smiley;0,456416110682;0,0182856401961
kim;sub_smiley;0,585000172584;0,0165901112993
lstm;stemming;0,480868730366;0,0114059294817
cnn;stemming;0,568690372293;0,0210820532982
b_lstm;stemming;0,537745652492;0,00605707955166
cnn_lstm;stemming;0,595732978183;0,0247560798339
fast_text;stemming;0,455010564007;0,0367441409395
kim;stemming;0,667567571607;0,00425925099805
lstm;sub_hashtags;0,47378517858;0,000990484066117
cnn;sub_hashtags;0,566048961604;0,0359376237057
b_lstm;sub_hashtags;0,531228902146;0,0052425344733
cnn_lstm;sub_hashtags;0,586070166198;0,00568017270051
fast_text;sub_hashtags;0,456803173422;0,00559846239122
kim;sub_hashtags;0,645955820365;0,0478819416798
lstm;sub_numbers;0,471638434001;0,00909818936661
cnn;sub_numbers;0,554625582648;0,0073950605359
b_lstm;sub_numbers;0,54262526986;0,0167741308978
cnn_lstm;sub_numbers;0,613812722901;0,018037292261
fast_text;sub_numbers;0,441301570927;0,0209127454331
kim;sub_numbers;0,651834529129;0,0317359738879
lstm;stop_words;0,459422149593;0,0165656065113
cnn;stop_words;0,547115035474;0,00872481420266
b_lstm;stop_words;0,554151622947;0,00767803881522
cnn_lstm;stop_words;0,61662423428;0,0441103218133
fast_text;stop_words;0,440083276725;0,0185605884274
kim;stop_words;0,643941656516;0,0585274102586
